PORT|TCP|UDP|DESCRIPTION
21025|Yes||Starbound Server (default), Starbound
22000|Yes||Syncthing (default)
22136|Yes||FLIR Systems Camera Resource Protocol
22222|Yes||Davis Instruments, WeatherLink IP
23073|||Soldat Dedicated Server
23399|||Skype default protocol
23513|?|?|Duke Nukem 3D source ports
24441|Yes|Yes|Pyzor spam detection network
24444|||NetBeans integrated development environment
24465|Yes|Yes|Tonido Directory Server for Tonido which is a Personal Web App and P2P platform
24554|Yes|Yes|BINKP, Fidonet mail transfers over TCP/IP
24800|||Synergy: keyboard/mouse sharing software
24842|||StepMania: Online: Dance Dance Revolution Simulator
25565|Yes||Minecraft (Java Edition) multiplayer server
25575||Yes|Minecraft (Java Edition) multiplayer server RCON
25826||Yes|collectd default port
26000|Yes|Yes|id Software's Quake server
26900–26901|Yes||EVE Online
27000|Yes||PowerBuilder SySAM license server
27000–27006||Yes|id Software's QuakeWorld master server
27000–27009|Yes|Yes|FlexNet Publisher's License server (from the range of default ports)
27000–27015|No|Yes|Steam (game client traffic)
27015|No|Yes|GoldSrc and Source engine dedicated server port
27015-27018||Yes|Unturned, a survival game
27015–27030|No|Yes|Steam (matchmaking and HLTV)
27016|||Magicka server port
27017|Yes|No|MongoDB daemon process (mongod) and routing service (mongos)
27031|Ports 27036 & 27037|Yes|Steam (In-Home Streaming)
27036|Yes|Yes|Steam (In-Home Streaming)
27037|Yes|Ports 27031 & 27036|Steam (In-Home Streaming)
27374|||Sub7 default.
27500–27900||Yes|id Software's QuakeWorld
27888||Yes|Kaillera server
27901–27910||Yes|id Software's Quake II master server
27950||Yes|OpenArena outgoing
27960–27969||Yes|Activision's Enemy Territory and id Software's Quake III Arena, Quake III and Quake Live and some ioquake3 derived games, such as Urban Terror (OpenArena incoming)
28001|||Starsiege: Tribes
28015||Yes|Rust (video game)
28770–28771||Yes|AssaultCube Reloaded, a video game based upon a modification of AssaultCube
28785–28786||Yes|Cube 2: Sauerbraten
28852|Yes|Yes|Killing Floor
28910|Yes|Yes|Nintendo Wi-Fi Connection
28960|Yes|Yes|Call of Duty; Call of Duty: United Offensive; Call of Duty 2; Call of Duty 4: Modern Warfare;
29000|?|?|Perfect World, an adventure and fantasy MMORPG
29070|Yes|Yes|Jedi Knight: Jedi Academy by Ravensoft
29900–29901|Yes|Yes|Nintendo Wi-Fi Connection
29920|Yes|Yes|Nintendo Wi-Fi Connection
30564|Yes||Multiplicity: keyboard/mouse/clipboard sharing software
31337|Yes||Back Orifice and  Back Orifice 2000 remote administration tools
31416|?|?|BOINC RPC
31438|Yes||Rocket U2
31457|Yes||TetriNET
32137|Yes|Yes|Immunet Protect (UDP in version 2.0,)
32400|Yes||Plex Media Server
32764|Yes||A backdoor found on certain Linksys, Netgear and other wireless DSL modems/combination routers
32887|Yes||Ace of Spades, a multiplayer FPS video game
32976|Yes||LogMeIn Hamachi, a VPN application; also TCP port 12975 and SSL (TCP 443).
33434|Yes|Yes|traceroute
33848||Yes|Jenkins, a continuous integration (CI) tool
34000||Yes|Infestation: Survivor Stories (formerly known as The War Z), a multiplayer zombie video game
34197|No|Yes|Factorio, a multiplayer survival and factory-building game
35357|Yes||OpenStack Identity (Keystone) administration
37008||Yes|TZSP intrusion detection
40000|Yes|Yes|SafetyNET p – a real-time Industrial Ethernet protocol
41121|Yes|Yes|Tentacle Server - Pandora FMS
43110|Yes||ZeroNet web UI default port
43594–43595|?|?|RuneScape
44405|Yes||Mu Online Connect Server
44818|Yes|Yes|EtherNet/IP explicit messaging
47808|Yes|Yes|BACnet Building Automation and Control Networks (4780810 = BAC016)
49151|Reserved|Reserved|Reserved
49152–65535|Yes|No|Certificate Management over CMS
60000–61000|Port 22|Yes|Range from which Mosh – a remote-terminal application similar to SSH – typically assigns ports for ongoing sessions between Mosh servers and Mosh clients.
64738|Yes|Yes|Mumble
